month,close
2018-02-01,125.0
2018-03-01,125.79000091552734
2018-04-01,124.58999633789062
2018-05-01,123.0999984741211
2018-06-01,118.6500015258789
2018-07-01,115.98999786376953
2018-08-01,113.51000213623047
2018-09-01,112.76000213623047
2018-10-01,115.1500015258789
2018-11-01,115.54000091552734
2018-12-01,121.25
2019-01-01,124.75
2019-02-01,123.98999786376953
2019-03-01,122.01000213623047
2019-04-01,121.19999694824219
2019-05-01,123.33000183105469
2019-06-01,133.1999969482422
2019-07-01,133.2100067138672
2019-08-01,143.75
2019-09-01,138.8699951171875
2019-10-01,142.42999267578125
2019-11-01,137.86000061035156
2019-12-01,142.89999389648438
2020-01-01,149.3300018310547
2020-02-01,148.3800048828125
2020-03-01,148.0500030517578
2020-04-01,158.8000030517578
2020-05-01,162.91000366210938
2020-06-01,167.3699951171875
2020-07-01,185.42999267578125
2020-08-01,184.8300018310547
2020-09-01,177.1199951171875
2020-10-01,176.1999969482422
2020-11-01,166.6699981689453
2020-12-01,178.36000061035156
2021-01-01,172.61000061035156
2021-02-01,161.80999755859375
2021-03-01,159.9600067138672
2021-04-01,165.66000366210938
2021-05-01,178.3800048828125
2021-06-01,165.6300048828125
2021-07-01,169.82000732421875
2021-08-01,169.69000244140625
2021-09-01,164.22000122070312
2021-10-01,166.64999389648438
2021-11-01,165.5
2021-12-01,170.9600067138672
2022-01-01,168.08999633789062
2022-02-01,178.3800048828125
2022-03-01,180.64999389648438
2022-04-01,176.91000366210938
2022-05-01,171.13999938964844
2022-06-01,168.4600067138672
2022-07-01,164.10000610351562
2022-08-01,159.27000427246094
2022-09-01,154.6699981689453
2022-10-01,151.91000366210938
2022-11-01,164.80999755859375
2022-12-01,169.63999938964844
2023-01-01,179.41000366210938
2023-02-01,169.77999877929688
2023-03-01,183.22000122070312
2023-04-01,184.8000030517578
2023-05-01,182.32000732421875
2023-06-01,178.27000427246094
2023-07-01,182.35000610351562
2023-08-01,180.02000427246094
2023-09-01,171.4499969482422
2023-10-01,184.08999633789062
2023-11-01,188.75
2023-12-01,191.1699981689453
2024-01-01,188.4499969482422
2024-02-01,189.30999755859375
2024-03-01,205.72000122070312
2024-04-01,211.8699951171875
2024-05-01,215.3000030517578
2024-06-01,215.00999450683594
2024-07-01,226.5500030517578
2024-08-01,231.2899932861328
2024-09-01,243.05999755859375
2024-10-01,253.50999450683594
2024-11-01,245.58999633789062
2024-12-01,242.1300048828125
2025-01-01,258.55999755859375
2025-02-01,263.2699890136719
2025-03-01,288.1400146484375
2025-04-01,303.7699890136719
2025-05-01,303.6000061035156
2025-06-01,304.8299865722656
2025-07-01,302.9599914550781
2025-08-01,318.07000732421875
2025-09-01,355.4700012207031
2025-10-01,368.1199951171875
2025-11-01,387.8800048828125
2025-12-01,396.30999755859375
2026-01-01,398.2799987792969
